ime,drz,zvrst,leto,status
Hirax,United States,Thrash/Speed Metal/Crossover,1984,Active
Skylark,Italy,Melodic/Symphonic Power Metal,1994,Active
Weapon-X,United States,Heavy Metal,1997,Split-up
Keel,United States,Heavy Metal/Hard Rock,1984,Active
Ashes You Leave,Croatia,"Death/Doom Metal (early), Gothic/Doom Metal (later)",1995,Active
Nocturnal Winds,Finland,Melodic Death Metal,1992,Unknown
Warhead,Germany,Power/Speed Metal,1993,On hold
Eyehategod,United States,Sludge/Doom Metal,1988,Active
Mordred,United States,Thrash/Funk Metal,1984,Active
Executioner,United States,Thrash Metal,1984,Split-up
Glacier,United States,Heavy/Power Metal,1979,Split-up
Lone Wolf,United Kingdom,NWOBHM,N/A,Split-up
M.A.R.S.,United States,Heavy/Power Metal,1985,Split-up
SortilÃ¨ge,France,Heavy Metal,1981,Split-up
Thunderstorm,Germany,Heavy Metal,1988,Split-up
Tytan,United Kingdom,"NWOBHM, Heavy Metal",1981,Active
Addictive,Australia,Thrash Metal,1988,Split-up
Atlain,Germany,Speed/Power Metal,1983,Split-up
Battlefield,Germany,"Thrash Metal (early), Progressive Metal (later)",1987,Split-up
Brainfever,Germany,Heavy/Power/Speed Metal,N/A,Active
Centaur,Germany,Heavy/Power Metal,1989,Active
Crossfire,Belgium,Heavy/Speed Metal,1981,Split-up
Crystal Age,Sweden,Death Metal,1993,Split-up
Dark Wizard,Netherlands,Heavy Metal,1983,Active
Iron Fortress,United States,Heavy/Progressive/Power Metal,1994,Split-up
Killer,Belgium,Heavy/Speed Metal,1980,Active
Kinetic Dissent,United States,Progressive Speed/Power Metal,1987,Split-up
The Last Things,United States,Progressive Metal,1991,Split-up
Life After Death,United States,Heavy Metal,N/A,Split-up
Life Artist,Germany,Progressive Metal,1989,Active
Lord Bane,United States,Progressive Metal,1990,Split-up
Turisas,Finland,Folk/Symphonic Metal,1999,Active
Goat of Mendes,Germany,Heavy/Folk/Pagan Metal,1994,Active
Psyco Drama,United States,Progressive/Power Metal,1990,Active
Recon,United States,Power/Progressive Metal,1987,Split-up
Intrinsic,United States,Power/Speed Metal,1984,Active
Skid Row,United States,"Heavy Metal, Hard Rock",1986,Active
Warning,France,Heavy/Speed Metal,1979,Split-up
Trust,France,"Heavy Metal/Hard Rock (early), Rock (later)",1977,Unknown
Catharsis,Russia,Doom Metal (early) - Neoclassical Power Metal (later),1996,Active
Damien,Sweden,Thrash Metal,1982,Split-up
DÃ©tente,United States,Thrash/Speed Metal,1984,Split-up
Fear of God,United States,"Heavy Metal with Gothic influences (early), Thrash Metal (later)",1989,Split-up
Maniac,Austria,Speed/Heavy Metal,1983,Split-up
Mandator,Netherlands,Speed/Thrash Metal,1987,Active
Morrigan,Germany,Progressive/Melodic Power Metal,1997,Split-up
Geezer,United Kingdom,"Sludge Metal, Industrial Metal",1995,On hold
The Ravenous,United States,Death Metal,1997,Split-up
Lengsel,Norway,"Progressive Black Metal (early), Post-Black Metal/Depressive Rock (later)",1995,Active
Phinehas Priest,United States,Heavy Metal,1990,Split-up
Powercage,Norway,Heavy Metal,N/A,Split-up
Dr. Mastermind,United States,Speed Metal,1985,Active
Winters Bane,United States,Power Metal,1990,Active
Unleashed Power,United States,Progressive Thrash/Power Metal,1990,On hold
Unrest,Germany,Heavy/Power Metal,1988,Split-up
Tyrant,Germany,"Heavy Metal, Speed Metal",1981,Split-up
Marty Friedman,United States,"Progressive Rock/Metal, Shred",1987,Active
The Rods,United States,Heavy Metal,1980,Active
Oxenkiller,France,Heavy Metal,1982,Split-up
Havana Black,Finland,Heavy Metal,1985,Active
Adrian,Germany,Heavy/Power Metal,1987,Split-up
Quartz,United Kingdom,NWOBHM,1977,Active
Gaskin,United Kingdom,NWOBHM,1980,Active
More,United Kingdom,NWOBHM,1979,Split-up
The Obsessed,United States,Doom Metal,1980,Active
Dark Order,Australia,Thrash Metal,1995,Active
Zed Yago,Germany,Heavy Metal,1985,Active
Steeler,United States,Heavy Metal,1981,Split-up
Victor Smolski,Belarus,"Heavy Metal, Progressive Metal, Classical, Avant-garde",1996,Active
Viper,Brazil,"Melodic Power/Speed Metal, Punk/Pop (90's)",1985,Active
May-Linn,Denmark,Power Metal,1985,Active
Allied Forces,Netherlands,Heavy Metal,1982,Split-up
Titanic,Czech Republic,Heavy Metal,1984,Active
Ancient Curse,Germany,Progressive/Power Metal,1985,Active
Antidote,Finland,Thrash/Speed Metal,1986,Split-up
Apocalypse,Switzerland,Speed/Thrash Metal,1984,Split-up
Melvins,United States,Various,1983,Active
Orange Goblin,United Kingdom,Stoner Metal,1995,Active
Axe la Chapelle,Germany,Progressive Power Metal,1987,Split-up
Battlezone,United Kingdom,"Heavy Metal (1980s), Groove Metal (1990s)",1985,Split-up
Black Diamond,Germany,Heavy Metal,1981,Split-up
Black Tears,Germany,Heavy Metal,1983,Split-up
Quiet Riot,United States,"Hard Rock, Heavy Metal",1975,Active
Charon,Germany,Heavy Metal,1983,Split-up
Wardog,United States,Heavy/Power Metal,1993,Split-up
Velvet Viper,Germany,Power/Heavy Metal,1990,Split-up
Wicked Angel,United States,Speed/Power Metal,1984,Split-up
Forced Entry,Germany,Melodic Speed/Power Metal,1986,Changed name
Acrophet,United States,Thrash Metal,1983,Split-up
Overcast,United States,Metalcore,1991,Active
Spirit Caravan,United States,Doom/Stoner Metal,1997,Split-up
Shaman,Brazil,Progressive/Power Metal,2000,Split-up
Drakkar,Italy,Power Metal,1995,Active
Time Machine,Italy,Progressive Power Metal,1992,Unknown
Arise,Sweden,Death/Thrash Metal,1996,Unknown
Mad Axeman,Germany,Heavy/Power Metal,1983,Split-up
Platypus,United States,Progressive Metal,1997,Split-up
Martyr,Netherlands,Heavy/Power/Speed Metal,1982,Active
The Jelly Jam,United States,Progressive Metal,2001,Active
Valley's Eve,Germany,Progressive Metal,1993,On hold
Mystrez,Netherlands,"Technical Thrash Metal (early), Alternative/Progressive Rock (later)",1988,Active
No Inner Limits,Germany,Power/Progressive Metal,1992,Unknown
Noom,Germany,Progressive Metal,1993,Split-up
Virgo (Matos/Paeth),Germany,Progressive Rock,2001,On hold
Ironsword,Portugal,Heavy Metal,1995,Active
Falciform,New Zealand,Death Metal,2000,Split-up
Necronom,United States,Death Metal,1994,Active
Draw the Curtains,Norway,Progressive Metal,1998,Unknown
Anihilated,United Kingdom,Thrash Metal,1982,Active
Fury,Australia,Thrash Metal,1993,Changed name
Zimmers Hole,Canada,Speed/Thrash/Death Metal,1991,Active
Unchecked Aggression,United States,Heavy/Thrash Metal,1998,Split-up
Dagorlad,Belgium,Atmospheric Black/Gothic Metal,1997,Active
Pain,Germany,Power/Speed Metal,1985,Split-up
Axel Rudi Pell,Germany,Heavy/Power Metal,1989,Active
Picture,Netherlands,"Heavy Metal (early/later), Hard Rock (mid)",1979,Active
Poltergeist,Switzerland,Thrash Metal,1985,Active
Protector,Germany,"Thrash/Death Metal (early), Thrash Metal (later)",1986,Active
Slight of Mind,United States,Heavy Metal,1999,Split-up
Sonic Structure,United States,Heavy Metal,1998,Split-up
Apocalyptica,Finland,Symphonic Heavy Metal,1993,Active
Mesmerize,Italy,Heavy Metal,1988,Active
Sadomaniac,United States,Death Metal,2001,Split-up
Royal Air Force,Italy,Heavy Metal,1983,Split-up
Sacred Chao,Germany,Power/Speed Metal,1989,Split-up
Seventh Angel,United Kingdom,"Thrash/Doom Metal (early), Melodic Death/Doom Metal (later)",1987,Active
Slammer,United Kingdom,Thrash Metal,1987,Split-up
Son of a Bitch,United Kingdom,Heavy Metal,1976,Changed name
Obscene,Sweden,Brutal Death Metal,N/A,Split-up
Step Child,United States,Power Metal,1994,Split-up
Superior,Germany,Progressive Metal,1988,Split-up
Talon,Germany,Heavy Metal,1982,Split-up
Alakran,Argentina,Heavy Metal/Hard Rock,1982,Active
Almafuerte,Argentina,Heavy/Speed Metal,1995,On hold
Slaughter Lord,Australia,Black/Death/Thrash Metal,1985,Split-up
Tragedy Divine,Germany,Progressive Metal,1994,Split-up
Vulcano,Brazil,Black/Death/Thrash Metal,1980,Active
Transmetal,Mexico,Thrash/Death Metal,1987,Active
Immortal Souls,Finland,Melodic Death Metal,1991,Active
Muro,Spain,Speed Metal,1981,Active
Nullsake,United States,Technical Thrash Metal,2000,Active
Incinerate,United States,Melodic Death Metal,2000,Split-up
Blistered Earth,United States,Thrash Metal,1999,Changed name
Joey Tafolla,United States,"Neoclassical Metal/Rock, Shred",1986,Active
Tyran' Pace,Germany,Heavy Metal,1983,Split-up
Auditory Imagery,United States,Progressive Metal,1989,Split-up
Veni Domine,Sweden,Progressive/Doom Metal,1989,Split-up
Vortex,Netherlands,Heavy Metal,1979,Active
White Spirit,United Kingdom,Heavy Metal/NWOBHM,1975,Split-up
Wildfire,United Kingdom,NWOBHM,1982,Split-up
A Shattered Dream,United States,Progressive Metal,1988,Split-up
Angellic Rage,United States,Power/Progressive Metal,1986,Active
Autumn Silence,United States,Power/Progressive Metal,1989,Split-up
Dreamworks,Germany,Progressive Power Metal,1992,Split-up
Dreamstate,United States,Progressive Metal,1989,Split-up
Dreemwich,United States,Progressive Metal,1988,Active
Louis Cypher,Germany,Thrash Metal,1991,Active
Mystic Alliance,Germany,Power Metal,1992,Split-up
Nemesis,Greece,Progressive Metal,1989,Active
Scala Mercalli,Italy,Heavy/Power Metal,1992,Active
Angel Rot,United States,Stoner/Doom Metal,1988,Split-up
Deaf Dealer,Canada,Heavy Metal,1986,Changed name
TrÃ¶jan,United Kingdom,Speed Metal,1982,Split-up
Spartan Warrior,United Kingdom,NWOBHM,1980,Active
Steel Angel,France,Power Metal,1983,Split-up
Breaker,Canada,Heavy Metal,1982,Split-up
Hawk,United States,Heavy Metal,1984,Split-up
Odin,United States,Heavy Metal/Glam/Hard Rock,1980,Active
Lethal Dose,United States,Thrash/Speed Metal,1987,Split-up
Destroyer,United States,Heavy Metal,1985,Changed name
Militia,United States,Thrash/Speed/Power Metal,1984,Active
Ravage,Germany,Heavy/Speed Metal,1981,Active
Vixit,Mexico,Speed Metal,1988,Split-up
Lord,Hungary,Heavy Metal,1972,Active
Vanadium,Italy,Heavy Metal,1979,Split-up
Sacrifice,Switzerland,Heavy/Power Metal,1982,Changed name
Emerald,United States,Power Metal,1978,Split-up
Panther,United States,Heavy Metal,1985,Split-up
Ravage,United States,Heavy Metal,1986,Split-up
Steel Warriors,United States,Heavy Metal/Hard Rock,1982,Split-up
Norther,Finland,Melodic Death Metal,2000,Split-up
Airwolf,Germany,Power/Speed Metal,1985,Split-up
Area,Germany,Power Metal,1981,Split-up
Arrow,Germany,Heavy Metal,1983,Split-up
Black Fate,Germany,Heavy Metal,1984,Split-up
Black Hawk,Germany,Heavy Metal,1981,Active
Brainstorm,Germany,Heavy Metal,1984,Split-up
Defcon,Germany,Thrash Metal,1988,Changed name
Defender,Germany,Speed/Thrash Metal,1984,Active
Reactor,Germany,Melodic Speed Metal,1988,Split-up
Asgard,Germany,Heavy Metal,N/A,Split-up
Astaroth,Italy,Speed Metal,1982,Active
Dreamtale,Finland,Melodic Power Metal,1999,Active
Axe Victims,Germany,Heavy Metal,1982,Split-up
Zoetrope,United States,Speed/Thrash Metal,1977,Split-up
Vengeance,Netherlands,Heavy Metal,1983,Active
Bad Lizard,Belgium,"Hard Rock (early), Power Metal (later)",1982,Split-up
Angeles del Infierno,Spain,Heavy Metal,1980,Active
Exorcist,United States,Speed Metal,1985,Split-up
Incubus,United Kingdom,NWOBHM,1980,Split-up
Legija,Croatia,Heavy Metal,1985,Split-up
Madd Hunter,United States,Heavy Metal,1997,Active
TÅ±zmadÃ¡r,Hungary,Power Metal,1999,Active
Moby Dick,Hungary,Thrash Metal,1980,Active
Edenbridge,Austria,Symphonic Power Metal,1998,Active
Omen,Hungary,Power/Thrash/Speed Metal,1990,Active
Twenty Third Chapter,United States,Death Metal/Hardcore,1995,Split-up
Bullet,Germany,Heavy Metal,1978,Split-up
Bloody Mary,Germany,Heavy Metal,1983,Split-up
Danton,Germany,Heavy Metal,1986,Split-up
Darkness,Germany,Thrash Metal,1984,Active
Hammerschmitt,Germany,Heavy Metal,1984,Split-up
Hazzard,Germany,Heavy Metal,1982,Split-up
Invader,Germany,Heavy Metal,N/A,Split-up
Metal Sword,Germany,Heavy Metal,1982,Active
Steeler,Germany,Heavy Metal,1981,Split-up
Steeltower,Germany,Heavy Metal,1982,Changed name
Stormwind,Germany,Heavy Metal,1980,Split-up
Aftermath,United States,Power/Thrash Metal,1981,Split-up
Blacksmith,United States,Power Metal,1984,Active
Dark Age,United States,Heavy/Power Metal,1984,Split-up
Disciple,United States,Power/Speed Metal,1985,Split-up
Dresden,United States,Thrash Metal,1985,Split-up
Dungeon,United States,Heavy/Power Metal,1983,Split-up
Fantom Warior,United States,Thrash Metal,1984,Active
Gargoyle,United States,Heavy/Power Metal,1982,Split-up
Havoc,United States,Power/Thrash Metal,1982,Split-up
Heathen's Rage,United States,Power/Speed Metal,1983,Active
Hyksos,United States,Heavy Metal,1981,Split-up
Max Lynx,United States,Heavy/Power Metal,1982,Split-up
Medieval,United States,Heavy Metal,1981,Active
Medieval Steel,United States,Power Metal,1982,Active
Ruthless,United States,Power Metal,1982,Active
Sinister Angel,United States,Power Metal,1983,Active
Stormtrooper,United States,Power Metal,1984,Active
Strike,United States,Heavy/Power Metal,1982,Split-up
Taist of Iron,United States,Heavy/Power Metal,1982,Active
Thrust,United States,Heavy/Power Metal,1981,Active
Traitor,United States,Power Metal,1984,Split-up
Black Knight,Canada,Heavy/Power Metal,1981,Split-up
Bloodgood,United States,Heavy Metal/Hard Rock,1984,Active
Carnage,United States,Heavy Metal,1985,Split-up
Black Axe,United Kingdom,NWOBHM,1977,Changed name
KalapÃ¡cs,Hungary,Heavy/Speed Metal,1996,Active
Lord Wind,Poland,Darkwave/Folk/Medieval,1994,Active
Paralex,United Kingdom,NWOBHM,1977,Active
Hollow Ground,United Kingdom,NWOBHM,1979,Active
Dark Star,United Kingdom,NWOBHM,1978,Split-up
Damacles,United Kingdom,NWOBHM,N/A,Changed name
Crucifixion,United Kingdom,NWOBHM,1979,Split-up
Di'Anno,United Kingdom,"Melodic Rock (early), Heavy Metal (later)",1983,Changed name
Paul Di'Anno,United Kingdom,Heavy Metal,1997,Active
Slauter Xstroyes,United States,Power/Progressive Metal,N/A,Active
Tysondog,United Kingdom,"NWOBHM (early), Heavy/Speed Metal (later)",1983,Active
A Life Once Lost,United States,Metalcore/Groove Metal,1998,Split-up
Abdullah,United States,Stoner/Doom Metal,1998,Split-up
Abnegation,United States,"Metalcore (early), Brutal Death Metal (later)",1992,Split-up
Abominator,Australia,Black/Death Metal,1994,Active
Druid,United States,Heavy/Power Metal,1985,Split-up
Forever,United States,Heavy Metal,1985,Split-up
Ivory Tiger,United States,Heavy Metal,1986,Split-up
Mainiax,United States,Heavy Metal,1981,Split-up
Mars,United States,Heavy Metal,1985,Split-up
Meanstreak,United States,Power/Thrash Metal,1985,Split-up
Mersinary,United States,Power/Thrash Metal,1982,Split-up
Messiah,United States,Heavy/Power Metal,1983,Split-up
Messiah Force,Canada,Speed/Power Metal,1985,Split-up
Mox Nix,United States,Heavy/Power Metal,1983,Split-up
Necropolis,United States,Thrash Metal,1986,Split-up
Prowler,United States,Thrash Metal,1984,Split-up
Purgatory,United States,Thrash/Power/Speed Metal,1984,Unknown
Sacred Few,United States,Heavy Metal,1977,Active
Shire,United States,Melodic Heavy Metal/Hard Rock,1983,Active
Aftershok,United States,Heavy Metal,1995,Active
Siren,United States,Progressive Metal,1981,Split-up
Steel Vengeance,United States,Heavy Metal,1983,Active
Tantrum,United States,Power Metal,1984,Split-up
Unleashed,United States,Heavy/Power Metal,1985,Split-up
Acridity,United States,Thrash Metal,1987,Split-up
Aggression,Canada,Thrash Metal,1985,Active
Akilla,United States,Power/Speed Metal,1986,Split-up
Assault,Canada,Heavy/Power Metal,1985,Split-up
Cruella,United States,Power/Speed Metal,1986,Split-up
Darklin Reach,United States,Speed/Thrash Metal,1989,Split-up
ESP,United States,Power Metal,1985,Split-up
Eviction,United States,Thrash Metal,1986,Split-up
Gammacide,United States,Thrash Metal,1986,Split-up
Rata Blanca,Argentina,Heavy/Power Metal,1985,Active
Graven Image,United States,Power Metal,1983,Split-up
Hammer Witch,United States,Power/Thrash Metal,1985,Active
I.N.C.,United States,Thrash Metal,1986,Active
Pink Cream 69,Germany,"Melodic Power Metal, Glam/Hard Rock",1987,Active
Soothsayer,Canada,Thrash Metal,1985,Active
Tyrant's Reign,United States,Thrash Metal,1985,Active
Eternity X,United States,Progressive Metal,1985,Split-up
Wounds,Finland,Death/Thrash Metal,1998,Unknown
Tomorrow's Victim,United States,Brutal Death Metal/Deathcore,2001,Active
Harakiri,United States,Brutal Death Metal,1997,Active
Sikfuk,United States,Brutal Death Metal,2001,Active
Bound and Gagged,United States,Brutal Death Metal,1999,Active
Blueprint Human Being,Finland,"Experimental Death/Doom Metal (early), Progressive Rock (later)",2002,On hold
GodEatGod,United States,Sludge/Doom Metal,1999,Unknown
Necrotorture,Italy,Brutal Death Metal,2000,Active
Human Mincer,Spain,Brutal Death Metal,1996,On hold
Severance,United States,Death Metal,1989,Active
Astral,Czech Republic,Black/Gothic Metal,1996,Active
Belfegor,Poland,Black Metal,1998,Split-up
Belphegor,Austria,Death/Black Metal,1992,Active
CorpseVomit,United States,Death Metal,1992,Split-up
Demonic Christ,United States,"Black/Death Metal (1993-1999), Black Metal (later)",1992,Active
Blood Reaping,Mexico,Brutal Death Metal,1997,Split-up
Infected Flesh,Spain,Death Metal/Grindcore,1997,Active
Killing Addiction,United States,Death Metal,1988,Active
Cyperus,United States,Power/Progressive Metal,1982,Split-up
Dark Fate,Germany,Progressive/Power Metal,1991,Split-up
Dryrot,Germany,"Thrash Metal (early), Rock (later)",1990,Split-up
Emissary,United States,Progressive/Power Metal,1989,Split-up
En Force,United States,Power/Progressive Metal,1987,Split-up
Faithealer,Germany,Progressive Metal,1993,Active
Knight Errant,Germany,Thrash Metal,1991,Split-up
Kraze,United States,Power Metal,1984,Split-up
Ramrod,United States,Power Metal,1992,Split-up
Rebirth,Germany,Power Metal,1989,Split-up
Still Black,Germany,Thrash Metal,1993,Split-up
Taliesyn,Germany,Progressive Metal,1993,Split-up
Tarot,Germany,Power/Heavy Metal,1988,Split-up
The Experience,Germany,Progressive Thrash Metal,1993,Split-up
Transcendence,Germany,Progressive Power Metal,1990,Split-up
Tyccoma,Germany,Progressive Power Metal,1993,Split-up
Varix,Germany,Power Metal,1991,Split-up
